Year,Savings,Profit,Beans_Alloc,Maize_Alloc,Potatos_Alloc,Rice_Alloc,Beans_Profit,Maize_Profit,Potatos_Profit,Rice_Profit
1,187877.49262649886,177877.49262649883,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44876.83535157746,44163.56341081962,44537.19749166791,44299.89637243392
2,367941.4862987284,180063.99367222944,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,45181.74073559332,44488.634080125055,45393.99064684622,44999.62820966481
3,548046.7593141051,180105.27301537656,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,45304.27126847079,45076.96541677544,44971.501958363384,44752.53437176697
4,726747.7885581622,178701.0292440568,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44625.6049200813,44577.49423953034,44968.34019729434,44529.58988715084
5,907434.519938877,180686.73138071553,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,45629.75900528254,45295.44464544244,44700.99140959397,45060.53632039654
6,1086439.127891823,179004.6079529459,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44132.33909454698,44907.608644801956,45352.7468618063,44611.913351790674
7,1265651.8830419495,179212.755150127,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,45290.02594106721,44589.51761220795,44601.12410441907,44732.087492432685
8,1442967.4788287173,177315.59578676746,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44110.25552816617,44632.6536547718,43869.072660956874,44703.61394287266
9,1621485.0575419795,178517.57871326126,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44115.52285234827,45317.47429223936,44178.23233087521,44906.34923779844
10,1800752.3074810465,179267.24993906857,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,45618.24056145977,44693.34109893408,44517.53513330973,44438.13314536497
11,1980005.1417254645,179252.83424441685,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44578.333509683405,45447.19287729151,44777.23066007439,44450.07719736747
12,2160175.9069247674,180170.76519930272,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,45276.779802273166,44943.36534772817,44029.12720827875,45921.49284102266
13,2338678.12080822,178502.21388345354,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44130.69856846976,44888.920809505944,44873.18598698276,44609.40851849508
14,2517698.7124274992,179020.59161927737,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44750.59743808974,44743.24668316241,45412.61810329476,44114.12939473059
15,2698754.9721178818,181056.25969038322,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,45054.62732667194,45376.852954414644,45052.67457580359,45572.10483349301
16,2879675.6247112113,180920.65259333013,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,45223.163782056086,45174.30859265106,44758.736782426844,45764.443436196176
17,3058715.9667230975,179040.34201188677,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,43710.84461995913,44943.012282944015,45180.97725860472,45205.507850378875
18,3236903.0886119306,178187.12188883338,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44919.34653899095,43795.594616964816,44623.96201286289,44848.21872001477
19,3416958.4092417634,180055.32062983257,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,46085.49334291416,44678.35878371198,44407.0754847597,44884.39301844679
20,3596149.1979264207,179190.7886846577,24.999975000025014,24.999975000025014,24.999975000025014,24.999975000025014,44441.386801219334,44334.89049750933,45009.0186582663,45405.49272766284
